iter	Passed	Remaining
645	1721	943
646	1722	939
647	1723	936
648	1745	943
649	1747	941
650	1749	937
651	1750	934
652	1753	931
653	1754	928
654	1756	925
655	1759	922
656	1761	919
657	1767	918
658	1768	915
659	1770	912
660	1774	909
661	1775	906
662	1776	903
663	1778	900
664	1779	896
665	1780	893
666	1782	889
667	1783	886
668	1787	884
669	1788	881
670	1790	877
671	1792	875
672	1793	871
673	1795	868
674	1796	864
675	1799	862
676	1800	858
677	1801	855
678	1805	853
679	1807	850
680	1808	847
681	1812	845
682	1813	841
683	1815	838
684	1818	836
685	1819	833
686	1821	829
687	1822	826
688	1824	823
689	1826	820
690	1827	817
691	1828	813
692	1832	811
693	1834	808
694	1837	806
695	1838	803
696	1840	800
697	1844	798
698	1846	794
699	1848	792
700	1851	789
701	1852	786
702	1853	783
703	1856	780
704	1857	777
705	1859	774
706	1864	772
707	1865	769
708	1870	767
709	1872	764
710	1873	761
711	1876	758
712	1877	755
713	1878	752
714	1880	749
715	1883	747
716	1884	743
717	1885	740
718	1888	738
719	1889	734
720	1891	731
721	1893	728
722	1896	726
723	1897	723
724	1898	720
725	1900	717
726	1902	714
727	1904	711
728	1908	709
729	1909	706
730	1910	703
731	1911	700
732	1915	697
733	1916	694
734	1917	691
735	1918	688
736	1922	685
737	1923	682
738	1924	679
739	1927	677
740	1928	674
741	1929	670
742	1930	667
743	1933	665
744	1935	662
745	1937	659
746	1939	657
747	1941	653
748	1942	650
749	1943	647
750	1946	645
751	1947	642
752	1948	639
753	1950	636
754	1953	633
755	1954	630
756	1955	627
757	1956	624
758	1959	622
759	1961	619
760	1963	616
761	1965	614
762	1967	611
763	1968	608
764	1969	604
765	1972	602
766	1973	599
767	1974	596
768	1975	593
769	1979	591
770	1980	588
771	1981	585
772	1984	582
773	1986	579
774	1991	578
775	1993	575
776	1995	572
777	1998	570
778	2002	568
779	2003	565
780	2006	562
781	2010	560
782	2011	557
783	2013	554
784	2016	552
785	2018	549
786	2019	546
787	2022	544
788	2024	541
789	2028	539
790	2030	536
791	2031	533
792	2039	532
793	2050	531
794	2052	529
795	2062	528
796	2064	525
797	2068	523
798	2069	520
799	2071	517
800	2075	515
801	2076	512
802	2078	510
803	2082	507
804	2084	504
805	2085	501
806	2089	499
807	2091	496
808	2096	495
809	2098	492
810	2102	489
811	2103	487
812	2105	484
813	2108	481
814	2110	479
815	2115	477
816	2117	474
817	2120	471
818	2121	468
819	2122	465
820	2123	463
821	2127	460
822	2129	457
823	2130	455
824	2133	452
825	2134	449
826	2135	446
827	2136	443
828	2139	441
829	2140	438
830	2141	435
831	2143	432
832	2146	430
833	2148	427
834	2149	424
835	2152	422
836	2153	419
837	2155	416
838	2156	413
839	2159	411
840	2160	408
841	2161	405
842	2162	402
843	2166	400
844	2167	397
845	2169	394
846	2171	392
847	2172	389
848	2173	386
849	2174	383
850	2175	380
851	2178	378
852	2179	375
853	2180	372
854	2181	369
855	2184	367
856	2185	364
857	2186	361
858	2187	359
859	2189	356
860	2191	353
861	2192	350
862	2194	348
863	2196	345
864	2197	343
865	2198	340
866	2200	337
867	2202	334
868	2203	332
869	2204	329
870	2205	326
871	2206	323
872	2209	321
873	2210	318
874	2211	315
875	2212	313
876	2216	310
877	2217	308
878	2218	305
879	2219	302
880	2222	300
881	2223	297
882	2224	294
883	2225	292
884	2228	289
885	2229	286
886	2232	284
887	2236	282
888	2240	279
889	2242	277
890	2243	274
891	2244	271
892	2247	269
893	2248	266
894	2249	263
895	2251	261
896	2254	258
897	2256	256
898	2257	253
899	2258	250
900	2261	248
901	2263	245
902	2264	243
903	2267	240
904	2268	238
905	2269	235
906	2270	232
907	2273	230
908	2274	227
909	2275	225
910	2277	222
911	2280	220
912	2281	217
913	2282	214
914	2283	212
915	2286	209
916	2287	207
917	2289	204
918	2290	201
919	2293	199
920	2295	196
921	2300	194
922	2301	192
923	2303	189
924	2306	186
925	2307	184
926	2308	181
927	2310	179
928	2311	176
929	2313	174
930	2314	171
931	2316	169
932	2318	166
933	2319	163
934	2321	161
935	2324	158
936	2325	156
937	2326	153
938	2327	151
939	2330	148
940	2331	146
941	2333	143
942	2334	141
943	2336	138
944	2337	136
945	2338	133
946	2341	131
947	2342	128
948	2343	125
949	2345	123
950	2348	120
951	2349	118
952	2350	115
953	2353	113
954	2355	110
955	2357	108
956	2360	106
957	2363	103
958	2367	101
959	2371	98
960	2373	96
961	2377	93
962	2379	91
963	2381	88
964	2383	86
965	2385	83
966	2386	81
967	2389	78
968	2390	76
969	2392	73
970	2393	71
971	2395	69
972	2396	66
973	2398	64
974	2399	61
975	2402	59
976	2403	56
977	2404	54
978	2405	51
979	2408	49
980	2409	46
981	2410	44
982	2411	41
983	2415	39
984	2416	36
985	2417	34
986	2418	31
987	2421	29
988	2422	26
989	2423	24
990	2424	22
991	2427	19
992	2428	17
993	2429	14
994	2430	12
995	2432	9
996	2433	7
997	2434	4
998	2435	2
999	2438	0
